hour,minute,second,Irms,Vrms,Prms
2,21,10,19.63,"
",
2,21,10,6.36,81.13,515.72
2,21,10,7.92,81.31,644.28
2,21,10,3.68,82.72,304.13
2,21,10,3.52,81.92,287.96
2,21,10,640.10,"
",
2,21,10,6.33,82.27,520.76
2,21,10,1.21,82.57,99.63
2,21,10,6.36,81.13,515.72
2,21,10,7.92,81.31,644.28
2,21,10,3.68,82.72,304.13
2,21,10,3.52,81.92,287.96
2,21,10,640.10,"
",
2,21,10,6.33,82.27,520.76
2,21,10,1.21,82.57,99.63
2,21,10,6.36,81.13,515.72
2,21,10,7.92,81.31,644.28
2,21,10,3.68,82.72,304.13
,,,,,
